model,case_id,Count,Mean_HPI,P75_HPI,P95_HPI
BART,Case 1 (Unexpected Error),49,1.9151190913524185,2.19083178464225,2.3715264922516446
BART,Case 2 (Protective),1975,1.4073717087846573,2.0565076117488355,2.3558526765155468
BART,Case 3 (Pressure-induced Failure),17,2.71897680330055,2.799043864717156,3.0893392733785827
BART,Case 4 (Robust under Pressure),115,2.720991547216486,2.785876067319233,3.345557799411258
DeepSeek,Case 1 (Unexpected Error),79,1.7636990497012344,2.0881481060466296,2.267661031403128
DeepSeek,Case 2 (Protective),1824,1.3387923538030293,2.0100331058858574,2.233932390232919
DeepSeek,Case 3 (Pressure-induced Failure),26,2.6686936853578183,2.8351230269389855,3.2162230456223755
DeepSeek,Case 4 (Robust under Pressure),227,2.5632646688526237,2.631952032693672,3.0080375231840444
LLaMA3,Case 1 (Unexpected Error),57,1.5615470973705885,2.032438116039703,2.1578362944785465
LLaMA3,Case 2 (Protective),1800,1.3256955198762883,1.9937278872003072,2.208513669346099
LLaMA3,Case 3 (Pressure-induced Failure),19,2.706388178952347,2.9287046319058243,3.293311150124974
LLaMA3,Case 4 (Robust under Pressure),280,2.5209110649444084,2.607624027322008,2.9219181583813545
RoBERTa,Case 1 (Unexpected Error),73,1.876746777167265,2.142350689278503,2.325622953305008
RoBERTa,Case 2 (Protective),1871,1.3580489075073914,2.0235068305961,2.2681456047426023
RoBERTa,Case 3 (Pressure-induced Failure),24,2.7073802503698885,2.822335308341831,3.14378583542597
RoBERTa,Case 4 (Robust under Pressure),188,2.6045076979976325,2.664604401887263,3.031402788179895
SciBERT,Case 1 (Unexpected Error),64,1.732813806725143,2.0938345746339038,2.209870364778389
SciBERT,Case 2 (Protective),1856,1.352480604561313,2.0163970388481802,2.2495520286950947
SciBERT,Case 3 (Pressure-induced Failure),21,2.7080742837729357,2.885029982450787,3.161536326412544
SciBERT,Case 4 (Robust under Pressure),215,2.579362550030391,2.645854268256612,3.015897385246162
T5,Case 1 (Unexpected Error),51,1.7484488422053643,2.1287805243386737,2.3683976985073913
T5,Case 2 (Protective),1963,1.4056409916285484,2.056019618348179,2.33988095586709
T5,Case 3 (Pressure-induced Failure),17,2.743897451499057,2.885029982450787,3.0893392733785827
T5,Case 4 (Robust under Pressure),125,2.6995694377373907,2.74930051151759,3.30713605299186
