model,case,token_category,count,proportion
BART,C3,content/domain,17,0.5
BART,C3,punctuation,9,0.2647058823529412
BART,C3,stopword,6,0.17647058823529413
BART,C3,negation,1,0.029411764705882353
BART,C3,number,1,0.029411764705882353
BART,C4,content/domain,232,0.4594059405940594
BART,C4,punctuation,131,0.2594059405940594
BART,C4,number,75,0.1485148514851485
BART,C4,stopword,31,0.061386138613861385
BART,C4,evaluative,21,0.041584158415841586
BART,C4,negation,15,0.0297029702970297
DeepSeek,C3,content/domain,22,0.5116279069767442
DeepSeek,C3,punctuation,8,0.18604651162790697
DeepSeek,C3,stopword,8,0.18604651162790697
DeepSeek,C3,negation,3,0.06976744186046512
DeepSeek,C3,evaluative,2,0.046511627906976744
DeepSeek,C4,content/domain,197,0.4020408163265306
DeepSeek,C4,punctuation,175,0.35714285714285715
DeepSeek,C4,stopword,49,0.1
DeepSeek,C4,negation,32,0.0653061224489796
DeepSeek,C4,number,21,0.04285714285714286
DeepSeek,C4,evaluative,16,0.0326530612244898
LLaMA3,C3,content/domain,13,0.48148148148148145
LLaMA3,C3,punctuation,6,0.2222222222222222
LLaMA3,C3,evaluative,5,0.18518518518518517
LLaMA3,C3,stopword,2,0.07407407407407407
LLaMA3,C3,negation,1,0.037037037037037035
LLaMA3,C4,content/domain,203,0.396484375
LLaMA3,C4,punctuation,124,0.2421875
LLaMA3,C4,stopword,72,0.140625
LLaMA3,C4,negation,47,0.091796875
LLaMA3,C4,number,40,0.078125
LLaMA3,C4,evaluative,26,0.05078125
RoBERTa,C3,content/domain,19,0.40425531914893614
RoBERTa,C3,number,12,0.2553191489361702
RoBERTa,C3,evaluative,7,0.14893617021276595
RoBERTa,C3,punctuation,4,0.0851063829787234
RoBERTa,C3,negation,3,0.06382978723404255
RoBERTa,C3,stopword,2,0.0425531914893617
RoBERTa,C4,content/domain,158,0.32113821138211385
RoBERTa,C4,number,143,0.29065040650406504
RoBERTa,C4,punctuation,132,0.2682926829268293
RoBERTa,C4,stopword,47,0.09552845528455285
RoBERTa,C4,evaluative,12,0.024390243902439025
SciBERT,C3,content/domain,14,0.3888888888888889
SciBERT,C3,number,8,0.2222222222222222
SciBERT,C3,negation,5,0.1388888888888889
SciBERT,C3,punctuation,5,0.1388888888888889
SciBERT,C3,evaluative,4,0.1111111111111111
SciBERT,C4,content/domain,183,0.36381709741550694
SciBERT,C4,punctuation,126,0.2504970178926441
SciBERT,C4,number,118,0.2345924453280318
SciBERT,C4,negation,33,0.06560636182902585
SciBERT,C4,stopword,29,0.05765407554671968
SciBERT,C4,evaluative,14,0.027833001988071572
T5,C3,content/domain,17,0.5483870967741935
T5,C3,punctuation,7,0.22580645161290322
T5,C3,stopword,4,0.12903225806451613
T5,C3,number,2,0.06451612903225806
T5,C3,evaluative,1,0.03225806451612903
T5,C4,content/domain,247,0.4862204724409449
T5,C4,punctuation,160,0.31496062992125984
T5,C4,stopword,71,0.13976377952755906
T5,C4,number,16,0.031496062992125984
T5,C4,evaluative,9,0.017716535433070866
T5,C4,negation,5,0.00984251968503937
